present,p5,ccode,scode,country,polity,persist,bmonth,bday,byear,emonth,eday,eyear,democ,autoc,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp
,0,305,AUS,Austria,-88,1,3,5,1933,7,30,1934,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,305,AUS,Austria,-9,4,7,31,1934,3,15,1938,0,9,2,1,4,1,4,1,3,1,1
,0,305,AUS,Austria,-77,7,3,16,1938,4,30,1945,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,0,305,AUS,Austria,-88,1,5,1,1945,6,28,1946,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1,0,305,AUS,Austria,10,73,6,29,1946,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,1,373,AZE,Azerbaijan,-3,1,8,30,1991,6,7,1992,1,4,2,1,4,3,3,3,3,3,6
,1,373,AZE,Azerbaijan,1,1,6,8,1992,7,15,1993,3,2,2,2,4,3,3,3,7,3,6
,1,373,AZE,Azerbaijan,-3,2,7,16,1993,8,2,1995,1,4,2,1,4,3,3,3,3,3,6
,1,373,AZE,Azerbaijan,-6,3,8,3,1995,10,15,1998,0,6,2,1,4,2,3,2,3,2,3
1,1,373,AZE,Azerbaijan,-7,20,10,16,1998,99,99,9999,0,7,2,1,4,2,4,2,3,2,2
,0,267,BAD,Baden,-7,22,7,16,1819,6,30,1841,0,7,3,1,1,3,4,2,1,3,2
,0,267,BAD,Baden,-4,7,7,1,1841,12,15,1848,1,5,3,1,1,3,3,3,1,3,6
,0,267,BAD,Baden,-7,22,12,16,1848,1,18,1871,0,7,3,1,1,3,4,2,1,3,2
,0,692,BAH,Bahrain,-10,2,8,15,1971,12,7,1973,0,10,3,1,2,1,4,1,2,1,1
,0,692,BAH,Bahrain,-7,2,12,8,1973,8,25,1975,0,7,3,1,2,3,4,2,2,3,2
,0,692,BAH,Bahrain,-10,17,8,26,1975,1,16,1993,0,10,3,1,2,1,4,1,2,1,1
,0,692,BAH,Bahrain,-9,6,1,17,1993,12,31,1998,0,9,3,1,2,2,4,1,2,2,1
,0,692,BAH,Bahrain,-9,2,1,1,1999,2,14,2001,0,9,3,1,1,2,4,1,1,2,1
,0,692,BAH,Bahrain,-8,2,2,15,2001,10,23,2002,0,8,3,1,1,2,4,2,1,2,2
,0,692,BAH,Bahrain,-7,8,10,24,2002,8,23,2010,0,7,3,1,1,2,3,2,1,2,3
,0,692,BAH,Bahrain,-5,1,8,24,2010,3,14,2011,1,6,3,1,1,2,3,3,1,2,6
,0,692,BAH,Bahrain,-8,2,3,15,2011,10,28,2012,0,8,3,1,1,2,4,2,1,2,2
1,0,692,BAH,Bahrain,-10,6,10,29,2012,99,99,9999,0,10,3,1,1,1,4,1,1,1,1
,0,245,BAV,Bavaria,-10,,1,1,1800,5,26,1818,0,10,3,1,1,1,4,1,1,1,1
,0,245,BAV,Bavaria,-9,22,5,27,1818,6,30,1840,0,9,3,1,1,2,4,1,1,2,1
,0,245,BAV,Bavaria,-8,8,7,1,1840,6,30,1848,0,8,3,1,1,3,4,1,1,3,1
,0,245,BAV,Bavaria,-7,23,7,1,1848,1,18,1871,0,7,3,1,1,3,4,2,1,3,2
,1,211,BEL,Belgium,-88,1,10,4,1830,7,20,1831,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,211,BEL,Belgium,-4,16,7,21,1831,8,11,1847,0,4,3,1,2,3,1,0,2,3,4
,1,211,BEL,Belgium,4,61,8,12,1847,11,14,1908,5,1,3,2,3,5,3,3,6,5,6
,1,211,BEL,Belgium,6,6,11,15,1908,10,14,1914,7,1,3,2,3,7,3,3,6,7,6
,1,211,BEL,Belgium,-66,4,10,15,1914,11,10,1918,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,1,211,BEL,Belgium,6,22,11,11,1918,4,4,1940,7,1,3,2,3,7,3,3,6,7,6
,1,211,BEL,Belgium,-66,4,4,5,1940,9,2,1944,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,1,211,BEL,Belgium,8,7,9,3,1944,7,16,1951,9,1,3,3,4,7,3,4,8,7,8
,1,211,BEL,Belgium,9,19,7,17,1951,5,28,1970,9,0,3,3,4,7,2,4,8,7,9
,1,211,BEL,Belgium,10,17,5,29,1970,6,9,2007,10,0,3,3,4,7,5,5,8,7,10
1,1,211,BEL,Belgium,8,11,6,10,2007,99,99,9999,8,0,3,3,4,7,2,3,8,7,7
,1,434,BEN,Benin,2,3,8,1,1960,10,28,1963,4,2,3,3,4,3,3,3,8,3,6
,1,434,BEN,Benin,-88,2,10,29,1963,12,22,1965,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,434,BEN,Benin,-7,4,12,23,1965,5,1,1970,0,7,1,0,0,1,4,1,4,1,1
,1,434,BEN,Benin,-2,3,5,2,1970,10,26,1972,1,3,2,1,4,3,2,3,3,3,7
,1,434,BEN,Benin,-7,7,10,27,1972,12,31,1979,0,7,1,0,0,1,4,1,4,1,1
,1,434,BEN,Benin,-7,10,1,1,1980,2,25,1990,0,7,2,0,0,1,4,1,5,1,1
,1,434,BEN,Benin,-88,1,2,26,1990,4,3,1991,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,434,BEN,Benin,6,15,4,4,1991,3,18,2006,6,0,2,2,4,5,2,4,7,5,9
1,1,434,BEN,Benin,7,13,3,19,2006,99,99,9999,7,0,3,3,4,5,2,4,8,5,9
,1,439,BFO,Burkina Faso,-7,5,8,5,1960,1,3,1966,0,7,2,1,4,3,4,1,3,3,1
,1,439,BFO,Burkina Faso,-7,4,1,4,1966,11,15,1969,0,7,1,0,0,1,4,1,4,1,1
,1,439,BFO,Burkina Faso,-6,0,11,16,1969,6,13,1970,0,6,1,0,0,1,4,2,4,1,2
,1,439,BFO,Burkina Faso,-4,8,6,14,1970,11,27,1977,0,4,2,0,0,2,3,2,5,2,3
,1,439,BFO,Burkina Faso,-88,0,11,28,1977,5,29,1978,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,439,BFO,Burkina Faso,4,3,5,30,1978,11,26,1980,5,1,2,2,4,5,3,3,7,5,6
,1,439,BFO,Burkina Faso,-7,10,11,27,1980,6,2,1991,0,7,1,0,0,1,4,1,4,1,1
,1,439,BFO,Burkina Faso,-5,6,6,3,1991,5,6,1998,0,5,2,0,0,2,4,2,5,2,2
,1,439,BFO,Burkina Faso,-4,1,5,7,1998,10,15,2000,0,4,2,0,0,2,3,2,5,2,3
,1,439,BFO,Burkina Faso,-3,1,10,16,2000,9,18,2001,0,3,2,0,0,3,3,2,5,3,3
,1,439,BFO,Burkina Faso,0,14,9,19,2001,12,28,2015,2,2,2,0,0,3,3,4,5,3,8
1,1,439,BFO,Burkina Faso,6,3,12,29,2015,99,99,9999,7,1,2,2,4,6,3,4,7,6,8
,0,760,BHU,Bhutan,-10,99,12,17,1907,3,25,2005,0,10,3,1,1,1,4,1,1,1,1
,0,760,BHU,Bhutan,-5,3,3,26,2005,5,7,2008,0,5,3,1,1,2,2,0,1,2,5
,0,760,BHU,Bhutan,3,5,5,8,2008,7,18,2013,3,0,3,2,3,4,2,0,6,4,5
,0,760,BHU,Bhutan,5,5,7,19,2013,10,18,2018,6,1,3,2,3,5,3,4,6,5,8
1,0,760,BHU,Bhutan,7,0,10,19,2018,99,99,9999,7,0,3,2,3,6,2,4,6,6,9
,1,370,BLR,Belarus,6,2,8,25,1991,3,15,1994,7,1,2,2,4,7,3,3,7,7,6
,1,370,BLR,Belarus,8,1,3,16,1994,4,10,1995,8,0,3,3,4,7,2,3,8,7,7
,1,370,BLR,Belarus,0,2,4,11,1995,11,24,1996,3,3,3,3,4,3,3,2,8,3,3
1,1,370,BLR,Belarus,-7,22,11,25,1996,99,99,9999,0,7,2,1,4,2,4,2,3,2,2
,1,771,BNG,Bangladesh,8,3,4,18,1972,12,27,1974,8,0,3,3,4,7,2,3,8,7,7
,1,771,BNG,Bangladesh,-2,1,12,28,1974,11,7,1975,2,4,2,2,4,3,4,2,7,3,2
,1,771,BNG,Bangladesh,-7,3,11,8,1975,12,24,1978,0,7,1,0,0,1,4,1,4,1,1
,1,771,BNG,Bangladesh,-4,3,12,25,1978,3,24,1982,0,4,2,0,0,2,3,2,5,2,3
,1,771,BNG,Bangladesh,-7,5,3,25,1982,11,10,1986,0,7,1,0,0,1,4,1,4,1,1
,1,771,BNG,Bangladesh,-5,5,11,11,1986,9,18,1991,0,5,2,0,0,2,4,2,5,2,2
,1,771,BNG,Bangladesh,6,15,9,19,1991,1,10,2007,6,0,3,3,4,5,2,3,8,5,7
,1,771,BNG,Bangladesh,-8,1,1,11,2007,9,8,2007,0,8,2,1,4,1,4,2,3,1,2
,1,771,BNG,Bangladesh,-6,1,9,9,2007,1,5,2009,0,6,2,1,4,2,3,2,3,2,3
,1,771,BNG,Bangladesh,5,5,1,6,2009,11,17,2013,6,1,2,2,4,5,3,4,7,5,8
,1,771,BNG,Bangladesh,4,0,11,18,2013,1,5,2014,5,1,2,2,4,5,3,3,7,5,6
,1,771,BNG,Bangladesh,1,4,1,6,2014,2,8,2018,3,2,2,2,4,3,3,3,7,3,6
,1,771,BNG,Bangladesh,-1,1,2,9,2018,12,29,2018,2,3,2,2,4,3,3,2,7,3,3
1,1,771,BNG,Bangladesh,-6,0,12,30,2018,99,99,9999,0,6,2,1,4,2,3,2,3,2,3
,1,145,BOL,Bolivia,-3,11,8,6,1825,12,15,1836,1,4,2,1,4,3,3,3,3,3,6
,1,145,BOL,Bolivia,-3,2,12,16,1836,1,20,1839,1,4,1,0,0,1,3,3,4,1,6
,1,145,BOL,Bolivia,-3,2,1,21,1839,6,30,1841,1,4,2,1,4,3,3,3,3,3,6
,1,145,BOL,Bolivia,-66,0,7,1,1841,11,20,1841,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,1,145,BOL,Bolivia,-3,23,11,21,1841,12,28,1864,1,4,2,1,4,3,3,3,3,3,6
,1,145,BOL,Bolivia,-7,7,12,29,1864,11,27,1872,0,7,1,0,0,1,4,1,4,1,1
,1,145,BOL,Bolivia,-88,1,11,28,1872,5,7,1873,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,145,BOL,Bolivia,1,3,5,8,1873,5,4,1876,3,2,2,2,4,3,3,3,7,3,6
,1,145,BOL,Bolivia,-7,4,5,5,1876,1,1,1880,0,7,1,0,0,1,4,1,4,1,1
,1,145,BOL,Bolivia,1,56,1,2,1880,5,17,1936,3,2,2,2,4,3,3,3,7,3,6
,1,145,BOL,Bolivia,-5,15,5,18,1936,7,21,1951,1,6,2,1,4,1,3,3,3,1,6
,1,145,BOL,Bolivia,-6,1,7,22,1951,4,11,1952,1,6,2,1,4,2,3,2,3,2,3
,1,145,BOL,Bolivia,4,4,4,12,1952,11,4,1964,5,1,2,2,4,5,3,3,7,5,6
,1,145,BOL,Bolivia,-4,1,11,5,1964,1,3,1966,0,4,1,0,0,2,3,2,4,2,3
,1,145,BOL,Bolivia,-4,3,1,4,1966,9,25,1969,0,4,2,0,0,2,3,2,5,2,3
,1,145,BOL,Bolivia,-4,2,9,26,1969,10,6,1970,0,4,1,0,0,2,3,2,4,2,3
,1,145,BOL,Bolivia,-5,1,10,7,1970,8,22,1971,0,5,1,0,0,1,3,2,4,1,3
,1,145,BOL,Bolivia,-7,7,8,23,1971,11,24,1978,0,7,1,0,0,1,4,1,4,1,1
,1,145,BOL,Bolivia,-4,2,11,25,1978,7,17,1980,0,4,2,0,0,2,3,2,5,2,3
,1,145,BOL,Bolivia,-7,2,7,18,1980,10,10,1982,0,7,1,0,0,1,4,1,4,1,1
,1,145,BOL,Bolivia,7,3,10,11,1982,8,6,1985,7,0,2,2,4,7,2,3,7,7,7
